1 70115
A  5441
1 90471
A 65722
3 82491
A 38781
3 63701
3 77782
A 97947
3 92575
A 78067
B 64822
2 75628
2 58240
A 73309
3 35520
3 76568
A 17990
B 47085
2 46088
B 31826
B  7676
B 38499
2 36316
2 50304
2 88655
3 89743
A 11645
A 89512
A   524
2 34067
1  6246
2 77005
2 77675
2  7950
2 53668
A  8634
3 35304
A 46803
B 83581
A   513
B 25480
2 25715
1 55628
3  7012
3 78048
B 92197
A 51715
2  8533
1 93295
3 53155
A 56259
B  8308
3  8924
B 63186
A 52220
A 64742
B 53956
1 14826
2  5684
B 65738
3 62918
1 68029
A 27140
2 44024
B 93046
3 67398
A 58970
A 40870
1 30818
B 60399
2 67756
2 60739
A 15598
2 31298
B 97404
A  5016
A 54973
B 74955
1 49608
3  2549
A 16160
A 91960
2 45654
A 43025
1 36888
1 59511
2 28566
3 26357
3 95817
B 65448
A 54692
1 53543
2 43511
B 91780
B 47479
A 35775
2 64276
1 38771
B 60568
